"","Response.ID","IP.address","User.agent","Response.status","Survey.URL","Start.time","Completion.time","Time.taken","Collector","JeffCo.resident","City.area","Age","Under7","7_12","13_18","19_34","35_54","55-64","65_74","75_older","RateNewPoolImportance","Under7_Non.swimmer","Under7_Beginner","Under7_Intermediate","Under7_Advanced","7_12_Non.swimmer","7_12_Beginner","7_12_Intermediate","7_12_Advanced","13_18_Non.swimmer","13_18_Beginner","13_18_Intermediate","13_18_Advanced","19_34_Non.swimmer","19_34_Beginner","19_34_Intermediate","19_34_Advanced","35_54_Non.swimmer","35_54_Beginner","35_54_Intermediate","35_54_Advanced","55-64_Non.swimmer","55-64_Beginner","55-64_Intermediate","55-64_Advanced","65_74_Non.swimmer","65_74_Beginner","65_74_Intermediate","65_74_Advanced","75_older_Non.swimmer","75_older_Beginner","75_older_Intermediate","75_older_Advanced","UsedAquaticsPast2Years","WhichAquaticFacilities","FacilityUsageRate","AquaAmenities_LapSwimming","AquaAmenities_OpenSwim","AquaAmenities_YouthLessons","AquaAmenities_AdultLessons","AquaAmenities_CompetitiveSwim","AquaAmenities_LifeguardTrain","AquaAmenities_Aerobics","AquaAmenities_SyncroSwim","AquaAmenities_SportsLeagues","AquaAmenities_SafetyTrain","AquaAmenities_Therapeutic","AquaAmenities_PartyRental","AquaAmenities_ParentChild","AquaAmenities_Sauna","AquaAmenities_HotTub","AquaAmenities_PublicShower","AquaAmenities_OutdoorPool","AquaAmenities_SplashPark","AquaAmenities_UsageRate","RecAmenities_AfterschoolCamps","RecAmenities_Preschool","RecAmenities_Childcare","RecAmenities_Playgroups","RecAmenities_FitnessClass","RecAmenities_PhysTherapy","RecAmenities_EventSpace","RecAmenities_WellnessClass","RecAmenities_Kitchen","RecAmenities_Cafe","RecAmenities_Gym","RecAmenities_OutPickleball","RecAmenities_InPickleball","RecAmenities_RockClimb","RecAmenities_TeenFit","RecAmenities_TeenCenter","RecAmenities_UsageRate","TaxSupport","Comments"
"187","rfB6sPan","24.113.162.15","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:134.0) Gecko/20100101 Firefox/134.0","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/1/2025 18:13","2/1/2025 18:23","10 mins 24 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Townsend (within city limits)","65-74","","","","","","","2","","Somewhat important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - Lake","Don't use an aquatic facility","Somewhat likely","Somewhat likely","","","","","","","","","","","","","","","","","Never","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Less than once a month","Yes","The pool/aquatic center/fitness facility should be in the only UGA of JeffCo."
"188","ZBfh8p4x","216.122.14.12","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Mobile Safari/537.36","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/1/2025 18:13","2/1/2025 18:19","5 mins 31 secs ","Pool Support and Amenities","Yes, I live here full-time","Brinnon","55-64","0","0","0","0","0","1","0","0","Not important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - Hotels during travel","Don't use an aquatic facility","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Never","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Never","No","I am adamantly opposed to taxation of the entire county for a city pool or aquatic center.  If you want it, find an investor and build a business plan that makes sense.  Take a vote of the entire county and see how unpopular this idea is.  Stop taxing everyone for PTs benefit."
"200","mlB60nod","98.97.35.95","Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/22B91 [FBAN/FBIOS;FBAV/498.0.0.35.105;FBBV/691089697;FBDV/iPhone16,1;FBMD/iPhone;FBSN/iOS;FBSV/18.1.1;FBSS/3;FBID/phone;FBLC/en_US;FBOP","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?fbclid=IwZXh0bgNhZW0CMTEAAR1AFAAeGaBP-CGysOaj2k-mg0uQBakMr5vEl8C-y878OFvMQ8qoseH0lvE_aem_cbsRmPr4_jlte1PlxgWy6g&lang=en","2/1/2025 18:43","2/1/2025 18:57","13 mins 53 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Ludlow","18-34","0","1","1","1","2","0","0","0","Very important",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - Lynnwood Rec Center","Less than once a month","Not likely","Very likely","Very likely","Somewhat likely","Not likely","Somewhat likely","Very likely","Not likely","Not likely","Somewhat likely","Very likely","Very likely","Very likely","Very likely","Very likely","Somewhat likely","Somewhat likely","Very likely","Several times a month","Not likely","Not likely","Not likely","Somewhat likely","Very likely","Very likely","Very likely","Very likely","Very likely","Very likely","Not likely","Not likely","Not likely","Very likely","Very likely","Very likely","Several times a month","Yes","The community would greatly benefit from a large scale community center of sorts. Pool, hot tub, sauna, health/wellness classes, water therapy, rock climbing, sport courts, playground/splash park, cafe, etc. would all be fantastic. Could actually create programs with the library (every 10 books read = free rec swim for kids in summer, is one idea)  Another idea for funding would be organizing a maker’s market of sorts, where a portion of the proceeds goes to the pool… I think the JeffCo community would pitch in on fundraising…  Another suggestion is a bus stop serviced by both the tri area bus and the Quil/Brinnon bus and perhaps some added bus times to increase reach for lower income folks.  Also, perhaps a membership option for more ongoing revenue.  I probably have a million more ideas."
"208","YwCY8H0x","172.56.108.63","Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/22B91 [FBAN/FBIOS;FBAV/498.0.0.35.105;FBBV/691089697;FBDV/iPhone12,5;FBMD/iPhone;FBSN/iOS;FBSV/18.1.1;FBSS/3;FBID/phone;FBLC/en_US;FBOP","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/1/2025 19:15","2/1/2025 19:21","6 mins 32 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Townsend (outside the city limits)","65-74","4","","","","","","","","Not important",NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - Hotels","Less than once a month","Not likely","Very likely","Not likely","Not likely","Somewhat likely","Not likely","Very likely","Not likely","Somewhat likely","Not likely","Very likely","Somewhat likely","","Somewhat likely","Very likely","Somewhat likely","Somewhat likely","Somewhat likely","Several times a month","Not likely","Not likely","Not likely","Not likely","Very likely","Very likely","Very likely","Very likely","Very likely","Very likely","Very likely","Somewhat likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Several times a month","No","I would only support an increase in the sales tax IF the city of Port Townsend was not also building a pool and asking for tax revenue."
"212","L7C4Epe0","72.132.2.80","Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/22B91 [FBAN/FBIOS;FBAV/498.0.0.35.105;FBBV/691089697;FBDV/iPhone14,2;FBMD/iPhone;FBSN/iOS;FBSV/18.1.1;FBSS/3;FBID/phone;FBLC/en_US;FBOP","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/1/2025 19:30","2/1/2025 19:35","5 mins 13 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Townsend (within city limits)","75+","0","0","0","0","0","0","0","1","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"Yes","Other (Please specify) - Helene Madison pool Seattle","Less than once a month","Somewhat likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Very likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Somewhat likely","Very likely","Somewhat likely","Not likely","Not likely","Several times a month","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Not likely","Less than once a month","Yes","Very excited about a pool for water aerobics"
"231","GHCYCiep","174.204.69.209","Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Mobile/15E148 Safari/604.1","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/1/2025 20:18","2/1/2025 20:32","13 mins 42 secs ","Pool Support and Amenities","Yes, I live here full-time","Other (Please specify) - The Highlands, off of Blue Sky Dr","55-64","","","","","","1","1","","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,"Yes","Other (Please specify) - Just went to PA last week, and it was wonderful!","","Somewhat likely","Very likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Very likely","Not likely","Not likely","Very likely","Very likely","Very likely","Very likely","Not likely","More than once a week","Not likely","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Very likely","Not likely","Not likely","Not likely","Very likely","Not likely","Not likely","Never","No","An Aquatic Center similar to The PA Aquatic center is a must. Especially during winter months as well as in the summer. Benefits  of swimming; gentle on the body while providing a great whole body workout ."
"235","02kyuVr4","24.113.167.249","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Mobile Safari/537.36","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/1/2025 20:33","2/1/2025 20:38","5 mins 35 secs ","Pool Support and Amenities","Yes, I live here full-time","Kala Point","75+","","","","","","","","2","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Yes","Other (Please specify) - Kala Point","Less than once a month","Somewhat likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Less than once a month","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Not likely","Somewhat likely","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Less than once a month","Yes",""
"246","ikfMBbud","98.97.34.117","Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Mobile/15E148 Safari/604.1","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/1/2025 21:02","2/1/2025 21:07","4 mins 32 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Townsend (within city limits)","35-54","0","0","0","0","2","0","0","0","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - Pools located in King County","Less than once a month","Very likely","Not likely","Not likely","Very likely","Somewhat likely","Not likely","Somewhat likely","Not likely","Not likely","Very likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Several times a month","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Less than once a month","Yes",""
"275","ygk9mh8z","97.113.169.67","Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Mobile/15E148 Safari/604.1","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/1/2025 22:16","2/1/2025 23:07","51 mins 13 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Townsend (outside the city limits)","65-74","0","0","0","0","0","0","2","0","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - Washington DC","Less than once a month","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Very likely","Not likely","Several times a month","Not likely","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Less than once a month","I don't know/need more information","I do not use indoor facilities of anybody kind right now or for foreseeable future. I would very likely use an outdoor pool and/or hot tub. If swimming instruction was available outside I would do that. If water exercise was available outside I would use that.  I am a nonbinary transgender man. I have been mercilessly harassed in shared changing/shower facilities all my life pre transition.  I have avoided pools most of my life due to harassment and I barely learned to swim although I love the water. I have never used single gender or shared shower/changing facilities post transition.  unless there are single stall showers and changing rooms, both with full curtains, that are expressly gender nonspecific (all sex/genders), then I would not be using the showers or changing facilities. That would greatly reduce the likelihood of me ever using the pool. On the other hand, if such facilities were available to me, and the pool itself was outdoors, I would envisage pretty frequent use.   I believe a pool is essential for our community. I would love a facility I felt comfortable using.  But I strongly believe we need one even if I were never to use it.    However I cannot support funding that uses a sales tax. This is a very regressive type of tax that puts too great a burden on people with less economic means. It takes a much higher percentage a poor person’s available funds than it does a richer person’s. It also tends to hit harder on  people who do not have the ability to go out of county to do their shopping. I believe it will also be keenly felt by anyone undertaking a major building project here.  The result will be an even greater tendency to purchase materials out of county, for example at big box building suppliers, and that will not be good for our local businesses.    I would also imagine that the sales tax would be applied to services purchased here? Would there be an added tax for dental work? For window washing and roof cleaning or repair? Again, I believe people will increasingly use out of county providers for services and this will not benefit the community.  Please find a less regressive funding mechanism.   I understand that one of the goals of the facility is for use by the public schools. And indeed the new proposed location is to be near a public school.  It seems to me that if the schools are to be using the facility then the school system should be expected to fund some part of it that is equivalent to the anticipated percent of use.  I used to live right next to a school that had a pool that was open to the public during certain hours. I used it once and then never used it. My experience was that the public hours were very short creating a massive competition for space and time. There were so many faster swimmers who were very impatient with beginners like myself.   in the afternoons the schedule was extremely crowded with school-related events, and open swimming ended up being late in the day. Too late and again too crowded.    I fear that having a pool be literally on site of a school will create these kinds of scheduling pressures. And if it is to be used much of the time or half of the time by the schools, then school funding should contribute to paying for it.  I will also weigh in to say that while I appreciate the challenges of building.a new pool on the site of the old pool, a facility in Chimacum will not provide the same level of access to the aging population inhabiting Port Townsend. My observation is that many elderly users currently walk to the pool, and a number of somewhat younger users bike to it.  t. Your survey does not ask about how people would get to the pool.  A number of us elderly folk in the area mask and rarely use public transport because other riders don’t mask. And a number of us are not really comfortable driving long distances.  Biking in this county outside of the city of PT is like handing your life over to a crazy game of a Russian roulette.  My point is that moving the pool out of the City of PT really changes/reduces access for an aging population that would greatly benefit from pool use and from the ability to walk or bike there.    I do not live in the City of PT but I would be way more likely to use a pool located there than in Chimacum: From my perspective it would be a lot better if the pool were located somewhere closer to halfway between.  However, I am under the impression that that ship has sailed And that the site has  pretty much been selected.  I don’t love it. I’ll use the pool less if at all. But I support the pool."
"304","qFfUU75M","98.97.44.10","Mozilla/5.0 (iPad; CPU OS 16_7_10 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/20H350 [FBAN/FBIOS;FBAV/498.0.0.35.105;FBBV/691089697;FBDV/iPad6,4;FBMD/iPad;FBSN/iPadOS;FBSV/16.7.10;FBSS/2;FBID/tablet;FBLC/en_US;FBOP/5;FBRV","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?fbclid=IwZXh0bgNhZW0CMTEAAR2rtpOpdRejfUYHA7eT7aYB8yqMTg_ctl5wFZ0q-g6mQZt-4j1ZnFw1EOk_aem_Q6thpKblPyj5sdbcVgpPEw&lang=en","2/2/2025 7:19","2/2/2025 7:25","6 mins 27 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Townsend (outside the city limits)","55-64","","","","","","","","","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - Out of state","Don't use an aquatic facility","Very likely","Not likely","Not likely","Not likely","Not likely","Not likely","Very likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Very likely","Very likely","Not likely","Very likely","Not likely","More than once a week","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Less than once a month","Yes","A slot of time daily for Elder water programs. Elder group exercise."
"308","iiCYxUgc","24.113.173.216","Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/353.1.720279278 Mobile/15E148 Safari/604.1","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/2/2025 7:44","2/2/2025 8:04","19 mins 30 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Townsend (within city limits)","55-64","","","","1","","1","","","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - While visiting family out of state","Less than once a month","Somewhat likely","Very likely","Not likely","Not likely","Not likely","Not likely","Very likely","Not likely","Not likely","Somewhat likely","Very likely","Somewhat likely","Not likely","Very likely","Very likely","Not likely","Not likely","Somewhat likely","Several times a month","Not likely","Not likely","Not likely","Not likely","Very likely","Very likely","Somewhat likely","Somewhat likely","Not likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Not likely","Several times a month","I don't know/need more information","While I don’t see our current household using a splash park or indoor play area, so couldn’t check those boxes, when the children were young we would drive to Bainbridge or Sequim for their aquatic center. It’s a big need for children in this community."
"309","dOfu2yrG","97.113.17.245","Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/22B91 [FBAN/FBIOS;FBAV/498.0.0.35.105;FBBV/691089697;FBDV/iPhone13,4;FBMD/iPhone;FBSN/iOS;FBSV/18.1.1;FBSS/3;FBID/phone;FBLC/en_US;FBOP","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?fbclid=IwZXh0bgNhZW0CMTEAAR3LOm2LdfJw3vCuKoSmUnoXY0c0LYOvZbAO1dkk9iDgwyI3SegiR5YxO8I_aem_HlfXpaRzopfhpeLzICl5lw&lang=en","2/2/2025 7:46","2/2/2025 7:57","10 mins 34 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Townsend (outside the city limits)","65-74","3","","","","","","","","Very important",NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - In California","Less than once a month","Very likely","Somewhat likely","Not likely","Somewhat likely","Not likely","Not likely","Very likely","Very likely","Somewhat likely","Very likely","Very likely","Somewhat likely","Somewhat likely","Very likely","Very likely","Somewhat likely","Somewhat likely","Not likely","More than once a week","Not likely","Not likely","Not likely","Not likely","Very likely","Very likely","Very likely","Very likely","Somewhat likely","Very likely","Somewhat likely","Somewhat likely","Very likely","Not likely","Not likely","Not likely","Several times a month","Yes",""
"338","I4CKobXF","75.172.35.184","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/2/2025 10:23","2/2/2025 10:28","5 mins 11 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Townsend (outside the city limits)","75+","","","","","","","1","1","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5,"Yes","Other (Please specify) - Big Island, Hawaii","Less than once a month","Very likely","Very likely","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Very likely","Somewhat likely","Not likely","Not likely","Very likely","Very likely","Very likely","Not likely","Not likely","Several times a month","Very likely","Not likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Very likely","Somewhat likely","Very likely","Very likely","Somewhat likely","Not likely","Not likely","Several times a month","Yes",""
"343","BhCi13eo","24.113.152.140","Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Mobile/15E148 Safari/604.1","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/2/2025 10:35","2/2/2025 10:40","5 mins 39 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Townsend (outside the city limits)","65-74","2","","","","","","","","Very important",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - Cannon beach","Less than once a month","Somewhat likely","Very likely","Not likely","Somewhat likely","Not likely","Not likely","Very likely","Not likely","Somewhat likely","Not likely","Very likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Several times a month","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Very likely","Not likely","Somewhat likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Several times a month","Yes",""
"351","c1CihwJO","172.56.107.96","Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/22B91 [FBAN/FBIOS;FBAV/498.0.0.35.105;FBBV/691089697;FBDV/iPhone14,3;FBMD/iPhone;FBSN/iOS;FBSV/18.1.1;FBSS/3;FBID/phone;FBLC/en_US;FBOP","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?fbclid=IwZXh0bgNhZW0CMTEAAR0iCsT4Mywh02Lkq3wjpOA-yWW9nkAlD7kiXKqVwGPOfrDeuc6US3_htEg_aem_Nf6uSYDuwWKWcuP3SyyO4Q&lang=en","2/2/2025 11:12","2/2/2025 11:17","5 mins 20 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Townsend (within city limits)","65-74","","","","","","1","1","","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - On vacation","Don't use an aquatic facility","Not likely","Very likely","Not likely","Not likely","Not likely","Not likely","Very likely","Not likely","Not likely","Very likely","Very likely","Not likely","Not likely","Very likely","Very likely","Very likely","Not likely","Not likely","Several times a month","Not likely","Not likely","Not likely","Not likely","Very likely","Not likely","Not likely","Very likely","Not likely","Very likely","Very likely","Not likely","Not likely","Not likely","Not likely","Not likely","Several times a month","Yes",""
"356","HZkpgLSG","24.113.158.238","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/2/2025 11:17","2/2/2025 11:41","24 mins 1 sec ","Pool Support and Amenities","Yes, I live here full-time","Port Townsend (within city limits)","65-74","","","","","","","1","1","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,"Yes","Other (Please specify) - Federal Way Community pools","Don't use an aquatic facility","Very likely","Very likely","Not likely","Not likely","Not likely","Somewhat likely","Very likely","Not likely","Not likely","Very likely","Very likely","Very likely","Very likely","Very likely","Very likely","Very likely","Very likely","Very likely","More than once a week","Not likely","Not likely","Not likely","Very likely","Very likely","Very likely","Somewhat likely","Very likely","Not likely","Very likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Not likely","More than once a week","Yes","An aquatic center is essential for east Jefferson County. Since my husband and I are in our 70s we would use it because water activities and therapies of all kinds are so helpful to our health. But I feel very strongly that a new and extensive aquatic/athletic center would be especially beneficial for the teens, children, and young adults in our community. I've lived many different places and I've seen the positive effects a community based center like this can have on the physical, mental and social health of a city, or in this case a county. We support this effort 100%. We may not live long enough to use it but our many younger family members who live here will definitely use this facility and benefit from it. One more thing, such a facility will also will improve value in multiple ways for east Jefferson County. Thanks!"
"366","nzEBeFyc","24.113.154.237","Mozilla/5.0 (Android 14; Mobile; rv:134.0) Gecko/134.0 Firefox/134.0","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?fbclid=IwY2xjawIMm7JleHRuA2FlbQIxMQABHfkC0kDp__Olh_PMLXX6jh841K-m5po0_cBy1fNAkxrGeygIWEUP2reYyw_aem_kX_wHKZCOlzYhQMra7gu2g&lang=en","2/2/2025 11:26","2/2/2025 11:31","4 mins 19 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Ludlow","65-74","0","0","0","0","0","0","1","0","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - Bend Oregon","More than once a week","Very likely","Very likely","","Somewhat likely","Not likely","Not likely","Very likely","Somewhat likely","Not likely","Somewhat likely","Somewhat likely","Not likely","","Very likely","Very likely","Somewhat likely","Somewhat likely","Not likely","More than once a week","Not likely","Not likely","Not likely","Not likely","Very likely","Very likely","Very likely","Very likely","Somewhat likely","Very likely","Not likely","Very likely","Somewhat likely","Not likely","Not likely","Not likely","More than once a week","Yes",""
